,act,char,title
38,Penny Peyser,Sharon Lyons,All the President's Men
39,Joshua Shelley,Al Lewis,All the President's Men
40,Sloane Shelton,Bookkeeper's Sister,All the President's Men
41,Lelan Smith,Arresting Officer #3,All the President's Men
42,Jaye Stewart,Male Librarian,All the President's Men
43,Ralph Williams,Ray Steuben,All the President's Men
44,George Wyner,Attorney #2,All the President's Men
45,Leroy Aarons,Financial Editor,All the President's Men
46,Donnlynn Bennett,Reporter,All the President's Men
47,Stanley Bennett Clay,Assistant Metro Editor,All the President's Men
48,Carol Coggin,News Aide,All the President's Men
49,Laurence Covington,News Announcer,All the President's Men
50,John Devlin,Metro Editor,All the President's Men
51,John Furlong,News Desk Editor,All the President's Men
52,Sidney Ganis,L.A. Stringer,All the President's Men
53,Amy Grossman,Reporter,All the President's Men
54,Cynthia Herbst,Reporter,All the President's Men
55,Basil Hoffman,Assistant Metro Editor,All the President's Men
56,Mark Holtzman,Reporter,All the President's Men
57,Jamie Smith-Jackson,Post Librarian,All the President's Men
58,Barbara Lipsky,Reporter,All the President's Men
59,Doug Llewelyn,White House Aide,All the President's Men
60,Jeff MacKay,Reporter,All the President's Men
61,Irwin Marcus,Reporter,All the President's Men
62,Greg Martin,Reporter,All the President's Men
63,Ron Menchine,Post Librarian,All the President's Men
64,Christopher Murray,Photo Aide,All the President's Men
65,Jess Nadelman,Assistant Metro Editor,All the President's Men
66,Noreen Nielson,Reporter,All the President's Men
67,Florence Pepper,Message Desk Receptionist,All the President's Men
68,Barbara Perlman,CRP Receptionist,All the President's Men
69,Louis Quinn,Salesman,All the President's Men
70,Peter Salim,Reporter,All the President's Men
71,Shawn Shea,News Aide,All the President's Men
72,Marvin Smith,Reporter,All the President's Men
73,Pam Trager,Reporter,All the President's Men
74,Carol Trost,Ben Bradlee's Secretary,All the President's Men
75,Richard Venture,Assistant Metro Editor,All the President's Men
76,Bill Willens,Hippie,All the President's Men
77,Wendell Wright,Assistant Metro Editor,All the President's Men
78,Spiro Agnew,Himself,All the President's Men
79,Warren Burger,Himself,All the President's Men
80,Walter Cronkite,Himself,All the President's Men
81,Cara Duff-MacCormick,Tammy Ulrich,All the President's Men
82,Thomas Eagleton,Himself,All the President's Men
83,Gerald Ford,Himself,All the President's Men
84,Richard Kleindienst,Himself,All the President's Men
85,Clark MacGregor,Himself,All the President's Men
86,Robert S. Mills,TV Reporter,All the President's Men
87,Pat Nixon,Herself,All the President's Men
88,Richard Nixon,Himself,All the President's Men
89,Rick O'Donnell,CIA Agent,All the President's Men
90,Del Rager,CIA Agent,All the President's Men
91,John Randolph,John Mitchell,All the President's Men
92,Ronald L. Ziegler,Himself,All the President's Men
0,Billy Crudup,Russell Hammond,Almost Famous
1,Frances McDormand,Elaine Miller,Almost Famous
2,Kate Hudson,Penny Lane,Almost Famous
3,Jason Lee,Jeff Bebe,Almost Famous
4,Patrick Fugit,William Miller,Almost Famous
5,Zooey Deschanel,Anita Miller,Almost Famous
6,Michael Angarano,Young William,Almost Famous
7,Anna Paquin,Polexia Aphrodisia,Almost Famous
8,Fairuza Balk,Sapphire,Almost Famous
9,Noah Taylor,Dick Roswell,Almost Famous
10,John Fedevich,Ed Vallencourt,Almost Famous
11,Mark Kozelek,Larry Fellows,Almost Famous
12,Philip Seymour Hoffman,Lester Bangs,Almost Famous
13,Liz Stauber,Leslie,Almost Famous
14,Jimmy Fallon,Dennis Hope,Almost Famous
15,Olivia Rosewood,Beth from Denver,Almost Famous
16,Bijou Phillips,Estrella Starr,Almost Famous
17,Alice Marie Crowe,Mrs. Deegan,Almost Famous
18,J.J. Cohen,Roadie Scully,Almost Famous
19,Gary Kohn,Roadie Gregg,Almost Famous
20,Ray Porter,Roadie Mick,Almost Famous
21,Mark Pellington,Freddy,Almost Famous
22,Eion Bailey,Jann Wenner,Almost Famous
23,Terry Chen,Ben Fong-Torres,Almost Famous
24,Rainn Wilson,David Felton,Almost Famous
25,Erin Foley,Alison the Fact Checker,Almost Famous
26,Jesse Caron,Darryl,Almost Famous
27,Charles Walker,Principal,Almost Famous
28,Jay Baruchel,Vic Munoz,Almost Famous
29,Pauley Perrette,Alice Wisdom,Almost Famous
30,Peter Frampton,Reg,Almost Famous
31,Zack Ward,The Legendary Red Dog,Almost Famous
32,Mitch Hedberg,Eagles Road Manager,Almost Famous
33,Devin Corey,The Who Road Manager,Almost Famous
34,Pete Droge,Hyatt Singer,Almost Famous
35,Elaine Summers,Hyatt Singer,Almost Famous
36,Eric Stonestreet,Sheldon the Desk Clerk,Almost Famous
37,Marc Maron,Angry Promoter,Almost Famous
38,Shane Willard,Ticket Scalper,Almost Famous
39,Chris McElprang,Aaron Amedori,Almost Famous
40,John Patrick Amedori,Himself,Almost Famous
41,Kate Peckham,Quiet Girl,Almost Famous
42,Julia Decker,Waving Girl,Almost Famous
43,Brian Vaughan,Real Topeka Kid,Almost Famous
44,Anthony Martelli,Poolside Provocateur,Almost Famous
45,Zach Clairville,Acid Kid,Almost Famous
46,Ian Ridgeway,Topeka Partier,Almost Famous
47,Isaac Curtiss,Topeka Partier,Almost Famous
48,Chris Lennon Davis,Topeka Partier,Almost Famous
49,Scott N. Stevens,Co-Pilot,Almost Famous
50,Kevin Sussman,Lenny,Almost Famous
51,Reathel Bean,Warwick Hotel Clerk,Almost Famous
52,Tom Riis Farrell,Plaza Doctor,Almost Famous
53,Laura Bastianelli,Nurse,Almost Famous
54,Samuel Aaron Roberson,High School Band,Almost Famous
55,Brian Andreasen,High School Band,Almost Famous
56,Jared Hren,High School Band,Almost Famous
57,Mary Dragicevich,High School Band,Almost Famous
58,Aura Barr,High School Band,Almost Famous
59,Daniel Wilson,Journalism Teacher,Almost Famous
60,William Barillaro,Bus Driver,Almost Famous
61,Holly Maples,Flight Attendant,Almost Famous
62,Matt Griesser,PSA Co-Pilot,Almost Famous
63,Susan Yeagley,Have a Nice Day Stewardess,Almost Famous
64,Nicole Spector,Hippie Girl at Airport,Almost Famous
65,Patrick Irmen,Wanna Get High Guy,Almost Famous
66,Nick Swardson,Insane Bowie Fan,Almost Famous
67,Cindy Weber,Shocked Elevator Family,Almost Famous
68,Kris Weber,Shocked Elevator Family,Almost Famous
69,Kimberly Weber,Shocked Elevator Family,Almost Famous
70,Kristin Weber,Shocked Elevator Family,Almost Famous
71,Samer Sourakli,Mustache Boy,Almost Famous
72,Michelle Moretti,Swingo's Desk Clerk,Almost Famous
73,Ana Maria Quintana,Arizona Housekeeper,Almost Famous
74,Lisa Buchignani,Arizona Housekeeper,Almost Famous
75,William Mapother,Bartender,Almost Famous
76,Dan Andreiu,Concert Goer,Almost Famous
77,Tammy Blue,Groupie,Almost Famous
78,Chadney Brewer,Dog Walker,Almost Famous
79,Andrew Briedis,Boy with Bike,Almost Famous
80,Greg Bronson,Upscale Pedestrian,Almost Famous
81,Mark Cirillo,Bowie Groupie,Almost Famous
82,Emmy Collins,Hotel Loadie,Almost Famous
83,Rebeca Cristian,Groupie,Almost Famous
84,Cindy Crowe,Anita - Startled Family Member,Almost Famous
85,Wayne Doba,Leonard Barr,Almost Famous
86,Bodhi Elfman,Alice's Manager,Almost Famous
87,Mark J. Ferreri,Micheal Creamer,Almost Famous
88,David C. Fisher,Party Guest,Almost Famous
89,Cole Fraley,Hippy Chauffeur at Swingos,Almost Famous
90,Elizabeth Friedman,Groupie,Almost Famous
91,Kyle Gass,Quince Allen,Almost Famous
92,Troy Higgins,Aarons Party Guest,Almost Famous
93,Michael Layman,Concertgoer,Almost Famous
94,Paul McMichael,Concert Goer,Almost Famous
95,Melissa Miller,Groupie,Almost Famous
96,Deirdre O'Brien,Groupie,Almost Famous
97,Marc Antonio Pritchett,Superfly Pimp,Almost Famous
98,Louis E. Rosas,Max's Kansas City Patron,Almost Famous
99,Eric Rosenberg,David Bowie's Manager,Almost Famous
100,Shannon Saint Ryan,Musician,Almost Famous
101,Nicki Sixteen,Concert Goer,Almost Famous
102,Casey Slade,Hardened Rodie,Almost Famous
103,Abraham Smith,Rocker,Almost Famous
104,Jimmy Star,Rocker,Almost Famous
105,Christine Vienna,Groupie,Almost Famous
106,Jann Wenner,Legend in Cab,Almost Famous
107,Patrick Williams,Roadie,Almost Famous
108,Evis Xheneti,Hippie Girl,Almost Famous
0,Christian Slater,Edward Carnby,Alone in the Dark
1,Tara Reid,Aline Cedrac,Alone in the Dark
2,Stephen Dorff,Cmdr. Richard Burke,Alone in the Dark
3,Frank C. Turner,Sam Fischer,Alone in the Dark
4,Matthew Walker,Prof. Lionel Hudgens,Alone in the Dark
5,Will Sanderson,Agent Miles,Alone in the Dark
6,Mark Acheson,Captain Chernick,Alone in the Dark
7,Darren Shahlavi,John Dillon,Alone in the Dark
8,Karin Konoval,Sister Clara,Alone in the Dark
9,Craig Bruhnanski,80's Sheriff,Alone in the Dark
10,Kwesi Ameyaw,Deputy Adams,Alone in the Dark
11,Dustyn Arthurs,Young Edward,Alone in the Dark
12,Catherine Lough Haggquist,Krash,Alone in the Dark
13,Ed Anders,James Pinkerton,Alone in the Dark
14,Brad Turner,Beat Cop,Alone in the Dark
15,Michael P. Northey,Guard,Alone in the Dark
16,Malcolm Scott,Delivery Guy,Alone in the Dark
17,Ryan Drescher,Young Boy,Alone in the Dark
18,Sean Campbell,First Mate,Alone in the Dark
19,Sarah Deakins,Linda,Alone in the Dark
20,Daniel Cudmore,Agent Barr,Alone in the Dark
21,Françoise Yip,Agent Cheung,Alone in the Dark
22,Ho-Sung Pak,Agent Marko,Alone in the Dark
23,Mike Dopud,Agent Turner,Alone in the Dark
24,Brendan Fletcher,Cabbie,Alone in the Dark
25,Donna Lysell,Sarah Fischer,Alone in the Dark
26,Ona Grauer,Agent Feenstra,Alone in the Dark
27,John Fallon,Agent Yonek,Alone in the Dark
28,Rebekah Postey,Sophie,Alone in the Dark
29,Robert Bruce,Crewman Barnes,Alone in the Dark
30,Dean Redman,Agent Richards,Alone in the Dark
31,Antonio Maiurano,Agent Tony,Alone in the Dark
32,Marc Natoli,Agent Sloan,Alone in the Dark
33,John Ulmer,Patrolman #2,Alone in the Dark
0,F. Murray Abraham,Antonio Salieri,Amadeus
1,Tom Hulce,Wolfgang Amadeus Mozart,Amadeus
2,Elizabeth Berridge,Constanze Mozart,Amadeus
3,Roy Dotrice,Leopold Mozart,Amadeus
4,Simon Callow,Emanuel Schikaneder,Amadeus
5,Christine Ebersole,Katerina Cavalieri,Amadeus
6,Jeffrey Jones,Emperor Joseph II,Amadeus
7,Charles Kay,Count Orsini-Rosenberg,Amadeus
8,Kenneth McMillan,Michael Schlumberg,Amadeus
9,Kenny Baker,Parody Commendatore,Amadeus
10,Lisbeth Bartlett,Papagena,Amadeus
11,Barbara Bryne,Frau Weber,Amadeus
12,Martin Cavina,Young Salieri,Amadeus
13,Roderick Cook,Count Von Strack,Amadeus
14,Milan Demjanenko,Karl Mozart,Amadeus
15,Peter DiGesu,Francesco Salieri,Amadeus
16,Richard Frank,Father Vogler,Amadeus
17,Patrick Hines,Kappelmeister Bonno,Amadeus
18,Nicholas Kepros,Archbishop Colloredo,Amadeus
19,Philip Lenkowsky,Salieri's Servant,Amadeus
20,Herman Meckler,Priest,Amadeus
21,Jonathan Moore,Baron Van Swieten,Amadeus
22,Cynthia Nixon,Lorl,Amadeus
23,Brian Pettifer,Hospital Attendant,Amadeus
24,Vincent Schiavelli,Salieri's Valet,Amadeus
25,Douglas Seale,Count Arco,Amadeus
26,Miroslav Sekera,Young Mozart,Amadeus
27,Cassie Stuart,Gertrude Schlumberg,Amadeus
28,John Strauss,Conductor,Amadeus
29,Karl-Heinz Teuber,Wig Salesman,Amadeus
30,Rita Zohar,Frau Schlumberg,Amadeus
31,Miro Grisa,Figaro in 'The Marriage of Figaro',Amadeus
32,Helena Cihelnikova,Countess in 'The Marriage of Figaro',Amadeus
33,Karel Gult,Count Almaviva in 'The Marriage of Figaro',Amadeus
34,Zuzana Kadlecova,Susanna in 'The Marriage of Figaro',Amadeus
35,Magda Celakovska,Cherubino in 'The Marriage of Figaro',Amadeus
36,Slavena Drasilova,Barbarina in 'The Marriage of Figaro',Amadeus
37,Eva Senková,Marcellina in 'The Marriage of Figaro',Amadeus
38,Leos Kratochvil,Basilio in 'The Marriage of Figaro',Amadeus
39,Gino Zeman,Don Curzio in 'The Marriage of Figaro',Amadeus
40,Janoslav Mikulín,Dr. Bartolo in 'The Marriage of Figaro',Amadeus
41,Ladislav Krecmer,Antonio in 'The Marriage of Figaro',Amadeus
42,Karel Fiala,Don Giovanni in 'Don Giovanni',Amadeus
43,Jan Blazek,Commendatore in 'Don Giovanni',Amadeus
44,Zdenek Jelen,Leporello in 'Don Giovanni',Amadeus
45,Milada Cechalova,Queen of the Night in 'The Magic Flute',Amadeus
46,John Carrafa,Dancer,Amadeus
47,Sara Clifford,Dancer,Amadeus
48,Richard Colton,Dancer,Amadeus
49,Shelley Freydont,Dancer,Amadeus
50,Anne Glasner,Dancer,Amadeus
51,Barbara Hoom,Dancer,Amadeus
52,Mary Kellogg,Dancer,Amadeus
53,Raymond Kurshals,Dancer,Amadeus
54,John Malashock,Dancer,Amadeus
55,Jennifer Rawe,Dancer,Amadeus
56,Tom Rawe,Dancer,Amadeus
57,William Whitener,Dancer,Amadeus
58,Hana Brejchová,Czechoslovakian Actor,Amadeus
59,Miriam Chytilová,Czechoslovakian Actor,Amadeus
60,Karel Effa,Czechoslovakian Actor,Amadeus
61,Radka Fiedlerová,Czechoslovakian Actor,Amadeus
62,Rene Gabzdyl,Czechoslovakian Actor,Amadeus
63,Karel Hábl,Czechoslovakian Actor,Amadeus
64,Atka Janousková,Czechoslovakian Actor,Amadeus
65,Marta Jarolimkova,Czechoslovakian Actor,Amadeus
66,Gabriela Krckova,Czechoslovakian Actor,Amadeus
67,Vladimir Krousky,Czechoslovakian Actor,Amadeus
68,Jirí Krytinár,Czechoslovakian Actor,Amadeus
69,Radka Kucharova,Czechoslovakian Actor,Amadeus
70,Jan Kuzelka,Czechoslovakian Actor,Amadeus
71,Jirí Lír,Czechoslovakian Actor,Amadeus
72,Lenka Loubalová,Czechoslovakian Actor,Amadeus
73,Dagmar Maskova,Czechoslovakian Actor,Amadeus
74,Ladislav Mikes,Czechoslovakian Actor,Amadeus
75,Jitka Molavcová,Czechoslovakian Actor,Amadeus
76,Jana Musilová,Czechoslovakian Actor,Amadeus
77,Vojtech Nalezenec,Czechoslovakian Actor,Amadeus
78,Pavel Nový,Czechoslovakian Actor,Amadeus
79,Jiri Opsatko,Czechoslovakian Actor,Amadeus
80,Jan Pohan,Czechoslovakian Actor,Amadeus
81,Therese Herz,Czechoslovakian Actor,Amadeus
82,Ivan Pokorný,Czechoslovakian Actor,Amadeus
83,Milan Riehs,Czechoslovakian Actor,Amadeus
84,Iva Sebkova,Czechoslovakian Actor,Amadeus
85,Zdenek Sklenar,Czechoslovakian Actor,Amadeus
86,Renata Vackova,Czechoslovakian Actor,Amadeus
87,Jiri Vancura,Czechoslovakian Actor,Amadeus
88,Dana Vávrová,Czechoslovakian Actor,Amadeus
89,Petra Vogelova,Czechoslovakian Actor,Amadeus
90,Josef Zeman,Czechoslovakian Actor,Amadeus
91,June Anderson,Queen of the Night in 'The Magic Flute',Amadeus
92,Isobel Buchanan,Susanna in 'The Marriage of Figaro',Amadeus
93,Michele Esposito,Salieri's Student,Amadeus
94,Gillian Fisher,Papagena in 'The Magic Flute',Amadeus
95,Anne Howells,Cherubino in 'The Marriage of Figaro',Amadeus
96,Brian Kay,Papageno in 'The Magic Flute',Amadeus
97,Robin Leggate,Don Curzio in 'The Marriage of Figaro',Amadeus
98,Felicity Lott,Countess in 'The Marriage of Figaro',Amadeus
99,Zdenek Mahler,Cardinal,Amadeus
100,Suzanne Murphy,Cavalieri in 'Axur',Amadeus
101,Suzanne Murphy,Constanza in 'Abduction from the Seraglio',Amadeus
102,Alexander Oliver,Basilio in 'The Marriage of Figaro',Amadeus
103,Patricia Payne,Marcellina in 'The Marriage of Figaro',Amadeus
104,Samuel Ramey,Figaro in 'The Marriage of Figaro',Amadeus
105,Deborah Rees,Barbarina in 'The Marriage of Figaro',Amadeus
106,Richard Stilwell,Count Almaviva in 'The Marriage of Figaro',Amadeus
107,Richard Stilwell,Don Giovanni in 'Don Giovanni',Amadeus
108,Vladimír Svitácek,Pope Clement,Amadeus
109,John Tomlinson,Dr. Bartolo in 'The Marriage of Figaro',Amadeus
110,John Tomlinson,Commendatore in 'Don Giovanni',Amadeus
111,Willard White,Antonio in 'The Marriage of Figaro',Amadeus
112,Willard White,Leporello in 'Don Giovanni',Amadeus
0,Audrey Tautou,Amélie Poulain,Amélie
1,Mathieu Kassovitz,Nino Quincampoix,Amélie
2,Rufus,Raphaël Poulain,Amélie
3,Lorella Cravotta,Amandine Poulain,Amélie
4,Serge Merlin,Raymond Dufayel,Amélie
5,Jamel Debbouze,Lucien,Amélie
6,Clotilde Mollet,Gina,Amélie
7,Claire Maurier,Madame Suzanne - la patronne du café,Amélie
8,Isabelle Nanty,Georgette,Amélie
9,Dominique Pinon,Joseph,Amélie
10,Artus de Penguern,Hipolito,Amélie
11,Yolande Moreau,Madeleine Wallace,Amélie
12,Urbain Cancelier,Collignon,Amélie
13,Maurice Bénichou,Dominique Bretodeau,Amélie
14,Michel Robin,Mr. Collignon,Amélie
15,Andrée Damant,Mrs. Collignon,Amélie
16,Claude Perron,Eva,Amélie
17,Armelle,Philomène,Amélie
18,Ticky Holgado,L'homme dans la photo,Amélie
19,Kevin Fernandes,Bretodeau enfant,Amélie
20,Flora Guiet,Amélie enfant,Amélie
21,Amaury Babault,Nino enfant,Amélie
22,André Dussollier,Narrator,Amélie
23,André Dussollier,Récitant,Amélie
24,Eugène Berthier,Eugène Koler,Amélie
25,Marion Pressburger,Petites mains du générique,Amélie
26,Charles-Roger Bour,L'homme à la vespasienne,Amélie
27,Luc Palun,L'épicier d'Amandine,Amélie
28,Fabienne Chaudat,La femme dans le coma,Amélie
29,Dominique Bettenfeld,Le voisin d'Amélie,Amélie
30,Jacques Viala,Le client qui humilie son ami,Amélie
31,Fabien Béhar,Le client humilié,Amélie
32,Jonathan Joss,Le fils du client humilié,Amélie
33,Jean-Pierre Becker,Le clochard,Amélie
34,Jean Darie,L'aveugle,Amélie
35,Thierry Gibault,Le client aux endives,Amélie
36,François Bercovici,Son copain,Amélie
37,Franck Monier,Dominique Bredoteau jeune,Amélie
38,Guillaume Viry,Le S.D.F.,Amélie
39,Valérie Zarrouk,Dominique Bredoteau femme,Amélie
40,Marie-Laure Descoureaux,La concierge du mort,Amélie
41,Sophie Tellier,La Tante Josette,Amélie
42,Gérald Weingand,L'instituteur,Amélie
43,François Viaur,Le patron du bistrot,Amélie
44,Paule Daré,Son employée,Amélie
45,Marc Amyot,L'inconnu des photomatons,Amélie
46,Myriam Labbé,La cliente du tabac,Amélie
47,Jean Rupert,L'opéré des cloisons nasales,Amélie
48,Frankie Pain,La marchande de journaux,Amélie
49,Julianna Kovacs,Une cliente de l'épicerie,Amélie
50,Philippe Paimblanc,Le contrôleur du train,Amélie
51,Mady Malroux,Les jumelles,Amélie
52,Monette Malroux,Les jumelles,Amélie
53,Robert Gendreu,Le client du café,Amélie
54,Valériane de Villeneuve,La femme qui rit,Amélie
55,Isis Peyrade,Samantha,Amélie
56,Raymonde Heudeline,La caissière du train fantôme,Amélie
57,Christiane Bopp,La femme près du manège,Amélie
58,Thierry Arfeuillères,L'homme statue,Amélie
59,Jerry Lucas,Le petit garçon du Sacré-Coeur,Amélie
60,Patrick Paroux,Le souffleur de rue,Amélie
61,François Aubineau,Le facteur de la concierge,Amélie
62,Philippe Beautier,Le facteur de Poulain,Amélie
63,Karine Asure,La jolie fille du rendez-vous,Amélie
64,Régis Iacono,Félix L'Herbier,Amélie
65,Franck-Olivier Bonnet,Palace Video,Amélie
66,Alain Floret,Le mari de la concierge,Amélie
67,Jean-Pol Brissart,Jacques Grosjean,Amélie
68,Frédéric Mitterrand,Himself,Amélie
69,Joan Bennett,Ellie Banks,Amélie
70,Rudy Galindo,Himself,Amélie
71,Jean-Michel Larqué,Himself,Amélie
72,Manoush,Nymphomaniac,Amélie
73,Federico Martín Bahamontes,Himself,Amélie
74,Thierry Roland,Himself,Amélie
75,Sister Rosetta Tharpe,Herself,Amélie
76,Jacques Thébault,Voice-Over,Amélie
77,Spencer Tracy,Stanley T. Banks,Amélie
0,Kevin Spacey,Lester Burnham,American Beauty
1,Annette Bening,Carolyn Burnham,American Beauty
2,Thora Birch,Jane Burnham,American Beauty
3,Wes Bentley,Ricky Fitts,American Beauty
4,Mena Suvari,Angela Hayes,American Beauty
5,Peter Gallagher,Buddy Kane,American Beauty
6,Allison Janney,Barbara Fitts,American Beauty
7,Chris Cooper,Colonel Fitts,American Beauty
8,Scott Bakula,Jim Olmeyer,American Beauty
9,Sam Robards,Jim Berkley,American Beauty
10,Barry Del Sherman,Brad,American Beauty
11,Ara Celi,Sale House Woman #1,American Beauty
12,John Cho,Sale House Man #1,American Beauty
13,Fort Atkinson,Sale House Man #2,American Beauty
14,Sue Casey,Sale House Woman #2,American Beauty
15,Kent Faulcon,Sale House Man #3,American Beauty
16,Brenda Wehle,Sale House Women #4,American Beauty
17,Lisa Cloud,Sale House Women #4,American Beauty
18,Alison Faulk,Spartanette #1,American Beauty
19,Krista Goodsitt,Spartanette #2,American Beauty
20,Lily Houtkin,Spartanette #3,American Beauty
21,Carolina Lancaster,Spartanette #4,American Beauty
22,Mona Leah,Spartanette #5,American Beauty
23,Chekesha Van Putten,Spartanette #6,American Beauty
24,Emily Zachary,Spartanette #7,American Beauty
25,Nancy Anderson,Spartanette #8,American Beauty
26,Reshma Gajjar,Spartanette #9,American Beauty
27,Stephanie Rizzo,Spartanette #10,American Beauty
28,Heather Joy Sher,Playground Girl #1,American Beauty
29,Chelsea Hertford,Playground Girl #2,American Beauty
30,Amber Smith,Christy Kane,American Beauty
31,Joel McCrary,Catering Boss,American Beauty
32,Marissa Jaret Winokur,Mr. Smiley's Counter Girl,American Beauty
33,Dennis Anderson,Mr. Smiley's Manager,American Beauty
34,Matthew Kimbrough,Firing Range Attendant,American Beauty
35,Erin Cathryn Strubbe,Young Jane,American Beauty
36,Bruce Cohen,Bartender,American Beauty
37,Elaine Corral Kendall,Newscaster,American Beauty
38,David C. Fisher,Wedding Guest,American Beauty
39,Tom Miller,Advertising Executive,American Beauty
40,Ronald Reagan,President Ronald Reagan,American Beauty
0,Denzel Washington,Frank Lucas,American Gangster
1,Russell Crowe,Richie Roberts,American Gangster
2,Chiwetel Ejiofor,Huey Lucas,American Gangster
3,Josh Brolin,Detective Trupo,American Gangster
4,Lymari Nadal,Eva,American Gangster
5,Ted Levine,Lou Toback,American Gangster
6,Roger Guenveur Smith,Nate,American Gangster
7,John Hawkes,Freddie Spearman,American Gangster
8,RZA,Moses Jones,American Gangster
9,Yul Vazquez,Alfonse Abruzzo,American Gangster
10,Malcolm Goodwin,Jimmy Zee,American Gangster
11,Ruby Dee,Mama Lucas,American Gangster
12,Ruben Santiago-Hudson,Doc,American Gangster
13,Carla Gugino,Laurie Roberts,American Gangster
14,Skyler Fortgang,Michael Roberts,American Gangster
15,John Ortiz,Javier J. Rivera,American Gangster
16,Cuba Gooding Jr.,Nicky Barnes,American Gangster
17,Armand Assante,Dominic Cattano,American Gangster
18,Kathleen Garrett,Mrs. Dominic Cattano,American Gangster
19,Joe Morton,Charlie Williams,American Gangster
20,Ritchie Coster,Joey Sadano,American Gangster
21,Bari K. Willerford,Joe Louis,American Gangster
22,Idris Elba,Tango,American Gangster
23,Common,Turner Lucas,American Gangster
24,Warner Miller,Melvin Lucas,American Gangster
25,Albert Jones,Terrence Lucas,American Gangster
26,J. Kyle Manzay,Dexter Lucas,American Gangster
27,T.I.,Stevie Lucas,American Gangster
28,Melissia Hill,Redtop,American Gangster
29,Quisha Saunders,Darlynn,American Gangster
30,Kevin Corrigan,Campizi,American Gangster
31,Robert Funaro,McCann,American Gangster
32,Jon Polito,Rossi,American Gangster
33,Tom O'Rourke,Banker,American Gangster
34,Robert C. Kirk,Police Captain,American Gangster
35,Tom Stearns,2-Star General,American Gangster
36,KaDee Strickland,Richie's Attorney,American Gangster
37,Jon DeVries,Judge James Racine,American Gangster
38,Jim R. Coleman,Bailiff,American Gangster
39,Lee Shepard,Laurie's Attorney,American Gangster
40,Gavin Grazer,Mike Sobota,American Gangster
41,Linda Powell,Social Worker,American Gangster
42,Roxanne Amandez,Paramedic,American Gangster
43,Norman Reedus,Detective in Morgue,American Gangster
44,Pierra Francesca,Stewardess,American Gangster
45,Eddie Rouse,Detective at Party,American Gangster
46,Maryann Urbano,Real Estate Broker,American Gangster
47,Cedric Sanders,Serviceman in Cafe,American Gangster
48,Jason Veasey,Serviceman in Cafe,American Gangster
49,Roosevelt Davis,Army Captain,American Gangster
50,Roger Bart,US Attorney,American Gangster
51,Eric Silver,White Kid,American Gangster
52,Mitchell Green,Tango Bodyguard,American Gangster
53,Saycon Sengbloh,Tango's Woman,American Gangster
54,Conor Romero,Tough Teenager,American Gangster
55,Daniel Hilt,Tough Teenager,American Gangster
56,Daniel Farcher,Tough Teenager,American Gangster
57,David Spearman,Civilian Cleaning Staff,American Gangster
58,Maurice Ballard,Civilian Cleaning Staff,American Gangster
59,Paul Doherty,TV Newscaster,American Gangster
60,William C. Tate,Baptist Minister,American Gangster
61,George Lee Miles,Frank's Lawyer,American Gangster
62,Jason Furlani,Bailiff,American Gangster
63,Chris McKinney,Reporter on TV,American Gangster
64,Ric Young,Chinese General,American Gangster
65,David Wayne Britton,Army Colonel,American Gangster
66,Tommy Guiffre,Medical Examiner,American Gangster
67,Laurence Lowry,Paramedic,American Gangster
68,Dan Moran,Army Captain,American Gangster
69,Marjorie Johnson,Charlene,American Gangster
70,Larry Mitchell,FBI Agent,American Gangster
71,Chuck Cooper,Private Doctor,American Gangster
72,Kevin Geer,Law School Professor,American Gangster
73,Chance Kelly,MP,American Gangster
74,Hamilton Clancy,Seller,American Gangster
75,Sam Freed,Judge,American Gangster
76,Joey Klein,Chemist,American Gangster
77,Scott Dillin,4th Amigo,American Gangster
78,Anthony Hamilton,Funk Band Singer,American Gangster
79,Sarah Hudnut Brody,Assistant Prosecutor,American Gangster
80,Jeff Greene,Metal Door Worker,American Gangster
81,Tyson Hall,Drug Dealer,American Gangster
82,Kirt Harding,Drug Dealer,American Gangster
83,Bryant Pearson,Drug Dealer,American Gangster
84,Al Santos,Mechanic,American Gangster
85,Lil Chuuch,Dealer,American Gangster
86,Christopher A. Sawyer,Dealer,American Gangster
87,Dylan Gallagher,Casket Loader,American Gangster
88,Jehan-Pierre 'The Preacher' Vassau,Narc Officer,American Gangster
89,Dawn Douglas,Narc Officer,American Gangster
90,Robbie Neigeborn,Cop in Narc Headquarters,American Gangster
91,Clinton Lowe,Man Arrested in Elevator,American Gangster
92,Wilhelm Lewis,Head Wedding Photographer,American Gangster
93,James Hunter,Deacon,American Gangster
94,Neville White,Deacon,American Gangster
95,Lonnie Gaetano,Prison Guard,American Gangster
96,Jeff Mantel,Officer Walsh,American Gangster
97,Serena Joan Springle,The Proctor,American Gangster
98,Ron Piretti,Judge,American Gangster
99,Nino Del Buono,Announcer,American Gangster
100,Arthur Mercante,Referee,American Gangster
101,Panama Redd,Policeman,American Gangster
102,Robert Wiggins,Piano Player,American Gangster
103,Fab 5 Freddy,Smalls Patron,American Gangster
104,Jonah Denizard,Store Manager,American Gangster
105,Steve McAuliff,Mounted Policeman,American Gangster
106,Fatima Robinson,Dancer,American Gangster
107,Karen Adisson,Dancer,American Gangster
108,Autavia Bailey,Dancer,American Gangster
109,Candyce Barnes,Dancer,American Gangster
110,Janelle Cambridge,Dancer,American Gangster
